Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
VIA;PRATI GIOVANNI;6,00;7149.0;8,00;31,00;"1;10;10;10";3 STELLE;hotel johnny;4,00;"T;1;2;3";69,00;"2;16;36;36";Hotel
VIA;PRINCIPE EUGENIO;45,00;7223.0;8,00;10,00;10;2 STELLE;mary hotel fiera;1,00;1;25,00;25;Hotel
VIA;QUARNERO;4,00;6263.0;7,00;11,00;"1;5;5";1 STELLA;amalfi;3,00;"R;1;2";24,00;"3;8;9";Hotel
VIA;RANCATI ILARIONE;3,00;2321.0;2,00;45,00;"9;9;9;9;9";3 STELLE;residence loreto;5,00;"1;2;3;4;5";80,00;"16;16;16;16;16";Residence
VIA;REINA FRANCESCO;18,00;3255.0;4,00;11,00;11;1 STELLA;san giovanni;1,00;1;20,00;20;Hotel
VIA;RENZO E LUCIA;14,00;5412.0;5,00;53,00;53;3 STELLE;hotel dei fiori;3,00;"1;2;3";108,00;108;Hotel
VIA;RICORDI GIOVANNI;10,00;2251.0;3,00;23,00;"4;8;4;4;3";3 STELLE;hotel adler;5,00;"T;1;2;3;4";43,00;"8;13;5;5;4";Hotel
VIA;RICORDI GIOVANNI;14,00;2251.0;3,00;9,00;9;1 STELLA;pensione cuba;1,00;1;14,00;14;Hotel
VIA;RICORDI GIOVANNI;20,00;2251.0;3,00;15,00;"3;4;4;4";1 STELLA;hotel malta;4,00;"R;1;2;3";24,00;"6;6;6;6";Hotel
VIA;RIPAMONTI GIUSEPPE;102,00;4066.0;5,00;18,00;0;2 STELLE;apollo;1,00;1;40,00;0;Hotel
VIA;RIPAMONTI GIUSEPPE;134,00;4066.0;5,00;28,00;28;2 STELLE;hotel liguria;1,00;1;51,00;51;Hotel
VIA;ROSSI PELLEGRINO;59,00;1510.0;9,00;21,00;0;1 STELLA;hotel salus;1,00;1;36,00;0;Hotel
VIA;ROVELLO;10,00;722.0;1,00;24,00;0;3 STELLE;hotel giulio cesare;1,00;1;34,00;0;Hotel
VIA;ROVELLO;3,00;722.0;1,00;29,00;"10;10;9";2 STELLE;hotel london;3,00;"1;2;3";49,00;"12;12;9";Hotel
VIA;RUBENS PIETRO;21,00;6597.0;7,00;87,00;"19;11";4 STELLE;hotel rubens;5,00;"1;2;3;4;5";150,00;"29;25";Hotel
VIA;RUTILIA;6,00;4229.0;5,00;23,00;"9;14";2 STELLE;hotel garden;2,00;"R;1";48,00;"13;27";Hotel
VIA;SACCHINI ANTONIO GASPARE;17,00;2252.0;3,00;18,00;"3;7;6";2 STELLE;sara;3,00;"T;1;2";36,00;"3;12;10";Hotel
VIA;SACCHINI ANTONIO GASPARE;19,00;2252.0;3,00;10,00;"1;5;4";1 STELLA;villa mira;3,00;"T;1;2";18,00;"2;8;8";Hotel
VIA;SALDINI CESARE;24,00;3206.0;3,00;45,00;45;3 STELLE;hotel citta  studi;1,00;1;79,00;79;Hotel
VIA;SAMMARTINI GIOVANNI BATTISTA;15,00;1202.0;2,00;17,00;17;1 STELLA;hotel central station;1,00;1;25,00;25;Hotel
VIA;SAMMARTINI GIOVANNI BATTISTA;15,00;1202.0;2,00;18,00;0;2 STELLE;hotel ada;1,00;1;25,00;0;Hotel
VIA;SANGIORGIO ABBONDIO;16,00;7138.0;1,00;30,00;0;3 STELLE;hotel lancaster;1,00;1;65,00;0;Hotel
VIA;SAN MAMETE;12,00;2413.0;2,00;13,00;13;1 STELLA;hotel convertini;1,00;1;28,00;28;Hotel
VIA;SAN RAFFAELE;3,00;207.0;1,00;64,00;0;4 STELLE;straf;1,00;1;118,00;0;Hotel
VIA;SAN RAFFAELE;6,00;207.0;1,00;21,00;0;5 STELLE;the gray;1,00;1;32,00;0;Hotel
VIA;SANTA MARIA FULCORINA;15,00;630.0;1,00;25,00;"7;7;7;4";3 STELLE;hotel nuovo biscione;4,00;"1;2;3;4";34,00;"10;10;10;4";Hotel
VIA;PELLICO SILVIO;8,00;not specified;1,00;18,00;0;1 STELLA;town house galleria;1,00;1;25,00;0;Hotel
VIA;SANTA SOFIA;10,00;408.0;1,00;158,00;158;4 STELLE;UPTOWN PALACE;1,00;1;318,00;318;Hotel
VIA;SANTA SOFIA;16,00;408.0;1,00;35,00;0;3 STELLE;hotel canada;1,00;1;78,00;0;Hotel
VIA;SAN TOMASO;8,00;723.0;1,00;11,00;11;4 STELLE;Non Specificato;1,00;1;22,00;22;Hotel
VIA;SARONNO;5,00;7202.0;8,00;15,00;"4;4;4;2";1 STELLA;hotel mignon;4,00;"1;2;3;4";24,00;"6;6;6;2";Hotel
VIA;SCARLATTI DOMENICO;22,00;2136.0;3,00;104,00;104;3 STELLE;hotel cristallo;1,00;1;223,00;223;Hotel
VIA;SCARLATTI DOMENICO;24,00;2136.0;2,00;78,00;"3;22;21;22;22";4 STELLE;andreola;5,00;"T;1;2;3;4";155,00;"4;34;34;33;33";Hotel
VIA;SCARLATTI DOMENICO;32,00;2136.0;2,00;68,00;68;4 STELLE;hotel bristol;1,00;1;116,00;116;Hotel
VIA;SCARLATTI DOMENICO;33,00;2136.0;2,00;305,00;"10;37;25;25;27;27;14;14;14;14";4 STELLE;hotel michelangelo;17,00;"1;2;3;4;5;6;7;8;9;0";538,00;"15;68;33;40;48;48;26;26;26;26";Hotel
VIA;SCIALOIA VITTORIO;3,00;1086.0;9,00;60,00;0;3 STELLE;hotel la residenza;1,00;1;100,00;0;Hotel
VIA;SENATO;5,00;236.0;1,00;93,00;0;5 STELLE;carlton hotel baglioni;1,00;1;186,00;0;Hotel
VIA;SENIGALLIA;6,00;1708.0;9,00;298,00;"40;0;40;40;40;63;56;56;28";4 STELLE;leonardo da vinci;8,00;"1;;2;3;4;5;6;7;8";864,00;"118;0;118;118;118;130;130;130;64";Hotel
VIA;SENIGALLIA;6,00;1708.0;9,00;423,00;423;4 STELLE;il leonardo da vinci;1,00;1;922,00;922;Residence
VIA;SETTALA LODOVICO;56,00;2111.0;3,00;7,00;"1;4;2";1 STELLA;hotel da xin;3,00;"T;1;2";11,00;"2;6;3";Hotel
VIA;SETTALA LODOVICO;76,00;2111.0;3,00;20,00;"3;4";2 STELLE;hotel charly;3,00;"T;1;2";34,00;"6;8;4";Hotel
VIA;SFORZA ASCANIO;73,00;5201.0;5,00;15,00;"3;12";2 STELLE;hotel mercurio;2,00;"R;1";25,00;"6;19";Hotel
VIA;SFORZA ASCANIO;81,00;5201.0;5,00;15,00;15;2 STELLE;albergo marte;1,00;1;25,00;25;Hotel
VIA;SIGIERI GOFFREDO;3,00;4080.0;4,00;19,00;19;3 STELLE;residence sigieri;1,00;1;24,00;24;Residence
VIA;SILVA GUGLIELMO;12,00;6400.0;8,00;96,00;"0;12";4 STELLE;mini hotel portello;4,00;"1;2;3;4";202,00;"0;23;12";Hotel
VIA;SIRACUSA;5,00;4032.0;1,00;48,00;"6;6;6;4";4 STELLE;residence bocconi;4,00;"T;1;2;3";97,00;"15;31;31;17";Residence
VIA;SIRTE;9,00;6116.0;6,00;94,00;"7;8;8;8;8;8";3 STELLE;hotel des etranger s;6,00;"1;2;3;4;5;6";159,00;"13;14;14;14;14;13";Hotel
VIA;SIRTORI GIUSEPPE;24,00;2180.0;3,00;60,00;60;3 STELLE;eurohotel;1,00;1;101,00;101;Non Specificato
VIA;SOPERGA;19,00;2262.0;2,00;11,00;0;1 STELLA;hotel valley;1,00;1;22,00;0;Hotel
VIA;SOPERGA;24,00;2262.0;2,00;78,00;0;3 STELLE;hotel soperga;1,00;1;134,00;0;Non Specificato
VIA;SOTTOCORNO PASQUALE;8,00;3152.0;4,00;13,00;13;2 STELLE;hotel dover;1,00;1;24,00;24;Hotel
VIA;SPADARI;11,00;518.0;1,00;40,00;"7;7;6;6;5;5;4";4 STELLE;spadari al duomo;7,00;"1;2;3;4;5;6;7";99,00;"15;15;14;14;11;9;7";Hotel
VIA;SPALLANZANI LAZZARO;27,00;2153.0;3,00;28,00;28;3 STELLE;hotel teco;1,00;1;80,00;80;Non Specificato
VIA;SPALLANZANI LAZZARO;40,00;2153.0;3,00;207,00;"24;29;9";4 STELLE;starhotels ritz;8,00;"1;2;3;4;5;6;7;8";386,00;"44;54;18";Hotel
VIA;SPEZIA;25,00;5268.0;5,00;76,00;0;4 STELLE;mini hotel la spezia;1,00;1;128,00;0;Hotel
VIA;SPINOLA AMBROGIO;9,00;6369.0;8,00;29,00;0;3 STELLE;HOTEL FIERA CONGRESSI;1,00;1;53,00;0;Hotel
VIA;SPONTINI GASPARE;6,00;2141.0;3,00;17,00;"0;6;6";1 STELLA;albergo del sole;2,00;";1;2";40,00;"0;19;19";Hotel
VIA;STAMIRA D'ANCONA;27,00;2337.0;2,00;167,00;167;4 STELLE;ramada plaza milano;1,00;1;334,00;334;albergo
VIA;TADINO ALESSANDRO;27,00;2109.0;3,00;22,00;"3;3;8;8";1 STELLA;hotel nettuno;4,00;"T;A;1;2";53,00;"6;6;12;12";Hotel
VIA;TARCHETTI IGINIO UGO;2,00;1060.0;1,00;282,00;0;4 STELLE;jolly touring;1,00;1;577,00;0;Hotel
VIA;TAZZOLI ENRICO;2,00;1118.0;9,00;160,00;0;4 STELLE;hotel ac milano;1,00;1;320,00;0;Hotel
VIA;TAZZOLI ENRICO;7,00;1118.0;9,00;35,00;23;4 STELLE;hotel hua xia milano;1,00;1;41,00;24;Hotel
VIA;TENCA CARLO;11,00;2118.0;2,00;27,00;0;3 STELLE;tencaresidence;1,00;1;92,00;0;Residence
VIA;TENCA CARLO;12,00;2118.0;2,00;19,00;19;1 STELLA;hotel verona;1,00;1;25,00;25;Hotel
VIA;TENCA CARLO;21,00;2118.0;2,00;52,00;0;4 STELLE;hotel mythos;1,00;1;79,00;0;Hotel
VIA;TEODOSIO;37,00;2550.0;3,00;8,00;0;1 STELLA;hotel galla;1,00;1;15,00;0;Hotel
VIA;TITO LIVIO;4,00;4086.0;4,00;40,00;0;3 STELLE;mec hotel;1,00;1;71,00;0;Hotel
VIA;TIZIANO VECELLIO;6,00;6380.0;8,00;54,00;"18;18;18";4 STELLE;mini hotel tiziano;3,00;"1;2;3";84,00;"34;25;25";Hotel
VIA;TOFFETTI VINCENZO;4,00;4188.0;4,00;26,00;"9;9;8";3 STELLE;hotel mistral;3,00;"1;2;3";49,00;"18;18;13";Hotel
VIA;TONALE;14,00;1213.0;2,00;28,00;"3;7";3 STELLE;hotel demo;3,00;"T;1;2";58,00;"4;11";Hotel
VIA;TONALE;2,00;1213.0;2,00;62,00;"15;15;15;13;4";3 STELLE;hotel albert;5,00;"1;2;3;4;5";102,00;"26;26;26;19;5";Hotel
VIA;TORRAZZA;15,00;7360.0;8,00;15,00;15;2 STELLE;hotel bonola;1,00;1;25,00;25;Hotel
VIA;TORRIANI NAPO;14,00;2126.0;2,00;62,00;"8;12;11;11;9;7;7";3 STELLE;hotel mennini;7,00;"1;2;3;4;5;6;7";122,00;"14;20;19;19;18;12;10";Hotel
VIA;TORRIANI NAPO;15,00;2126.0;2,00;59,00;"8;8;8;8;7;7;7;5;4";3 STELLE;hotel canova;9,00;"1;2;3;4;5;6;7;8;9";127,00;"10;10;10;10;11;11;11;9;8";Hotel
VIA;TORRIANI NAPO;17,00;2126.0;2,00;16,00;0;3 STELLE;dependance hotel berna;1,00;1;24,00;0;Hotel
VIA;TORRIANI NAPO;18,00;2126.0;2,00;122,00;"10;21";4 STELLE;HOTEL BERNA;6,00;"R;1;2;3;4;5";197,00;"13;31;33;32";Hotel
VIA;TORRIANI NAPO;21,00;2126.0;2,00;56,00;"5;11;12;12;11;6";3 STELLE;hotel garda;6,00;"T;1;2;3;4;5";98,00;"8;19;19;19;19;9";Hotel
VIA;TORRIANI NAPO;23,00;2126.0;2,00;50,00;"9;9;9;9;9;4";3 STELLE;flora;6,00;"1;2;3;4;5;6";83,00;"15;15;15;15;15;7";Hotel
VIA;TORRIANI NAPO;24,00;2126.0;2,00;62,00;"8;11;10";4 STELLE;hotel atlantic;6,00;"1;2;3;4;5;6";91,00;"13;16;14";Hotel
VIA;TORRIANI NAPO;27,00;2126.0;2,00;44,00;0;3 STELLE;hotel bernina;1,00;1;75,00;0;Hotel
VIA;TORRIANI NAPO;28,00;2126.0;2,00;71,00;71;3 STELLE;IDEA HOTEL MILANO CENTRALE;1,00;1;98,00;98;Hotel
VIA;TORRIANI NAPO;29,00;2126.0;2,00;56,00;"9;7;4;6;3;9;9;9";3 STELLE;hotel augustus;8,00;"4;5;6;S;R;1;2;3";93,00;"15;11;5;10;7;15;15;15";Hotel
VIA;TORTONA;35,00;5124.0;6,00;244,00;0;4 STELLE;hotel nhow;1,00;1;484,00;0;Hotel
VIA;TRIESTE;15,00;6261.0;7,00;10,00;10;2 STELLE;my hotel milano;1,00;1;12,00;12;Hotel
VIA;TRIVULZIO ANTONIO TOLOMEO;8,00;6277.0;7,00;68,00;0;4 STELLE;r.t.a. atahotel de angeli;1,00;1;192,00;0;Residence
VIA;UGOLINI GIUSEPPE;21,00;not specified;9,00;8,00;8;2 STELLE;hotel greco;1,00;1;20,00;20;Hotel
VIA;VALLAZZE;14,00;2250.0;3,00;13,00;13;1 STELLA;vallazze;1,00;1;22,00;22;albergo
VIA;VALLAZZE;39,00;2250.0;3,00;19,00;19;1 STELLA;hotel montecarlo;1,00;1;32,00;32;Hotel
VIA;VALVASSORI PERONI CARLO;85,00;2580.0;3,00;58,00;"8;7";3 STELLE;hotel gamma;7,00;"1;2;3;4;5;6;7";99,00;"14;9";Hotel
VIA;VARE' GIOVANNI BATTISTA;32,00;1245.0;9,00;36,00;36;3 STELLE;hotel valganna;1,00;1;72,00;72;Hotel
VIA;VENEZIA GIULIA;9,00;7500.0;8,00;115,00;115;4 STELLE;Non Specificato;1,00;1;230,00;230;Hotel
VIA;VENINI GIULIO E CORRADO;59,00;2258.0;2,00;10,00;10;1 STELLA;hotel siro;1,00;1;21,00;15;Hotel
VIA;VIGEVANO;13,00;5116.0;6,00;75,00;75;3 STELLE;la darsena;4,00;"1;2;3;4";204,00;204;Residence
VIA;VILLAPIZZONE;24,00;7272.0;8,00;250,00;259;4 STELLE;radisson blu hotel milan;1,00;1;500,00;518;Hotel
VIA;VITRUVIO;18,00;2134.0;3,00;19,00;8;2 STELLE;hotel salerno;1,00;1;39,00;16;Hotel
VIA;VITRUVIO;20,00;2134.0;3,00;17,00;0;2 STELLE;hotel eden;2,00;"1;2";32,00;0;Hotel
VIA;VITRUVIO;24,00;2134.0;3,00;17,00;"4;4;5";2 STELLE;hotel mondial;3,00;"T;1;2";29,00;"6;8;7";Hotel
VIA;VITRUVIO;28,00;2134.0;3,00;14,00;0;2 STELLE;hotel 2000;1,00;1;25,00;0;Hotel
VIA;VITRUVIO;29,00;2134.0;3,00;18,00;"3;6;6;3";3 STELLE;hotel mazzini;4,00;"T;1;2;3";30,00;"9;10;10;5";Hotel
VIA;VITRUVIO;43,00;2134.0;2,00;28,00;0;3 STELLE;gonzaga;1,00;1;67,00;0;albergo
VIA;VITRUVIO;48,00;2134.0;3,00;83,00;0;3 STELLE;hotel amadeus;1,00;1;150,00;0;Hotel
VIA;WASHINGTON GIORGIO;42,00;6111.0;7,00;12,00;"4;4;4";1 STELLA;villa giovanna;3,00;"1;2;M";16,00;"6;6;4";Hotel
VIA;WASHINGTON GIORGIO;66,00;6111.0;7,00;323,00;"52;52;52;52;52;52;11";4 STELLE;marriot hotel;7,00;"1;2;3;4;5;6;7";646,00;"104;104;104;104;104;104;22";Hotel
VIA;WATT GIACOMO;13,00;5292.0;6,00;87,00;87;4 STELLE;idea hotel milano watttredici;1,00;1;169,00;169;Hotel
VIALE;ABRUZZI;67,00;2177.0;3,00;20,00;20;3 STELLE;domus;1,00;1;36,00;36;Residence
VIALE;ARGONNE;14,00;3254.0;4,00;19,00;"6;8;2;4";3 STELLE;albergo susa;4,00;"2;3;T;1";37,00;"9;8;8;5";Hotel
VIALE;BERENGARIO;3,00;6364.0;8,00;27,00;27;3 STELLE;hotel campion;3,00;"1;2;3";51,00;49;Hotel
VIALE;BLIGNY;23,00;4045.0;5,00;84,00;"15;15;15;9;9;9;7";4 STELLE;hotel d este;7,00;"1;2;3;4;5;6;7";138,00;"26;26;25;14;14;14;14";Hotel
VIALE;BLIGNY;56,00;4045.0;5,00;58,00;"8;10;4";4 STELLE;hotel liberty;6,00;"1;2;3;4;5;6";106,00;"18;7";Hotel
VIALE;CERTOSA;108,00;7174.0;8,00;126,00;"35;34;24;21";4 STELLE;hotel raffaello;5,00;"1;2;3;4;5";223,00;"55;54;43;38;29";Hotel
VIALE;CERTOSA;26,00;7174.0;8,00;25,00;25;3 STELLE;hotel certosa;1,00;1;50,00;50;Hotel
VIALE;CERTOSA;68,00;7174.0;8,00;66,00;0;4 STELLE;hotel accademia;1,00;1;130,00;0;Hotel
VIALE;CERTOSA;88,00;7174.0;8,00;27,00;27;3 STELLE;albergo accursio;1,00;1;39,00;39;Hotel
VIALE;DEI MILLE;24,00;3115.0;3,00;11,00;"3;4;4";1 STELLA;pensione capri;3,00;"T;1;2";20,00;"5;8;4";Hotel
VIALE;DEI MILLE;48,00;3115.0;3,00;10,00;0;1 STELLA;hotel aladin;1,00;1;17,00;0;Hotel
VIALE;DEI MILLE;48,00;3115.0;3,00;14,00;14;1 STELLA;doria suisse;4,00;"1;2;3;4";20,00;20;Hotel
VIALE;DEI MILLE;48,00;3115.0;3,00;14,00;14;1 STELLA;exellent;1,00;1;16,00;16;Hotel
VIALE;DEI MILLE;60,00;3115.0;3,00;22,00;"4;6;4";3 STELLE;hotel ideale;3,00;"R;1;2";40,00;"5;9;6";Hotel
VIALE;DORIA ANDREA;22,00;2230.0;3,00;124,00;"12;22;22;22;22;22;22;22;22;22";4 STELLE;doria grand hotel;10,00;"1;2;3;4;5;6;7;8;9;0";234,00;"23;23;23;23;23;23;23;23;23;23";Hotel
VIALE;DORIA ANDREA;4,00;2230.0;2,00;143,00;143;4 STELLE;starhotels E.C.H.O.;7,00;"1;2;3;4;5;6;7";299,00;299;Hotel
VIALE;ESPINASSE CARLO;22,00;7390.0;8,00;10,00;"0;4;4";1 STELLA;sorrento;3,00;";1;2";20,00;"0;7;7";Hotel
VIALE;FAENZA;12,00;5350.0;6,00;8,00;8;1 STELLA;HOTEL FAENZA;1,00;1;20,00;20;Hotel
VIALE;FAMAGOSTA;48,00;5353.0;6,00;54,00;"22;22;10";4 STELLE;green house residence;3,00;"R;1;3";97,00;"38;38;21";Residence
VIALE;FAMAGOSTA;50,00;5353.0;6,00;45,00;0;3 STELLE;green house;1,00;1;92,00;0;Hotel
VIALE;ISONZO;14,00;4211.0;5,00;172,00;0;4 STELLE;grand visconti palace;1,00;1;388,00;0;Hotel
VIALE;ISONZO;2,00;4211.0;5,00;60,00;0;4 STELLE;hotel mayor;8,00;"1;2;3;4;5;6;7;8";120,00;0;Hotel
VIALE;LOMBARDIA;20,00;2400.0;3,00;14,00;14;3 STELLE;OASI VILLAGE HOTEL;1,00;1;25,00;25;Hotel
VIALE;LOMBARDIA;55,00;2400.0;3,00;28,00;0;3 STELLE;HOTEL SAN FRANCISCO;1,00;1;55,00;0;Hotel
VIALE;LOMBARDIA;59,00;2400.0;3,00;11,00;0;1 STELLA;hotel acapulco;1,00;1;18,00;0;Hotel
VIALE;LOMBARDIA;74,00;2400.0;3,00;96,00;96;3 STELLE;albergo lombardia;1,00;1;157,00;157;Hotel
VIALE;MONTE GRAPPA;12,00;1101.0;9,00;65,00;65;4 STELLE;maison moschino;1,00;1;135,00;135;Hotel
VIALE;MONZA;120,00;2274.0;2,00;15,00;0;3 STELLE;hotel nuovo metro;1,00;1;25,00;0;Hotel
VIALE;MONZA;132,00;2274.0;2,00;120,00;"27;27;12;12;12;12;12;6";4 STELLE;hotel concorde;8,00;"1;2;3;4;5;6;7;8";254,00;"45;45;30;30;30;30;30;14";Hotel
VIALE;MONZA;139,00;2274.0;2,00;89,00;"9;9;9;9;9;9;3";4 STELLE;residence atahotel linea uno;7,00;"1;2;3;4;5;6;7";254,00;"20;20;20;20;20;20;6";Residence
VIALE;MURILLO S.B.;22,00;6551.0;7,00;25,00;"9;10;6";2 STELLE;murillo;3,00;"T;1;2";46,00;"17;17;10";Hotel
VIALE;MURILLO S.B.;9,00;6551.0;7,00;72,00;72;4 STELLE;astoria;1,00;1;120,00;120;Hotel
VIALE;PAPINIANO;14,00;5097.0;1,00;52,00;"13;13;13;13";3 STELLE;hotel sant ambreus;4,00;"1;2;3;4";84,00;"21;21;21;21";Hotel
VIALE;PIAVE;42,00;2179.0;3,00;105,00;105;4 STELLE;hotel sheraton diana majestic;1,00;1;205,00;205;Hotel
VIALE;PIAVE;5,00;2179.0;1,00;12,00;0;2 STELLE;atena;1,00;1;24,00;0;Hotel
VIALE;PICENO;33,00;3114.0;4,00;17,00;17;2 STELLE;hotel dateo;1,00;1;33,00;33;Hotel
VIALE;SABOTINO;16,00;4046.0;5,00;13,00;0;2 STELLE;hotel arco romana;1,00;1;25,00;0;Non Specificato
VIALE;STURZO DON LUIGI;45,00;1704.0;9,00;420,00;70;4 STELLE;atahotel executive;6,00;"1;2;3;4;5;6";792,00;140;Hotel
VIALE;SUZZANI GIOVANNI;13,00;1446.0;9,00;172,00;"30;11";4 STELLE;novotel milano nord;7,00;"1;2;3;4;5;6;7";344,00;"60;22";Hotel
VIALE;SUZZANI GIOVANNI;13,00;not specified;9,00;131,00;33;3 STELLE;hotel ibis milano ca  granda;4,00;"1;2;3;4";262,00;66;Hotel
VIALE;TESTI FULVIO;300,00;1441.0;9,00;140,00;"15;15;15;15;15;9";4 STELLE;starhotels tourist;6,00;"R;1;2;3;4;5";250,00;"29;29;29;29;29;9";Hotel
VIALE;TUNISIA;6,00;2121.0;3,00;12,00;0;1 STELLA;hotel san tomaso;1,00;1;25,00;0;Hotel
VIALE;TUNISIA;6,00;2121.0;3,00;13,00;16;1 STELLA;hotel kennedy;1,00;6;23,00;23;Hotel
VIALE;TUNISIA;9,00;2121.0;3,00;50,00;"3;6;9;9;9";4 STELLE;st. george hotel;5,00;"A;1;2;3;4";99,00;"5;16;26;26;26";Hotel
VIALE;VITTORIO VENETO;30,00;2107.0;2,00;15,00;15;2 STELLE;hotel casa mia;1,00;1;25,00;25;Hotel
VIALE;ZARA;1,00;1170.0;9,00;32,00;32;4 STELLE;casa albergo residence zara lagosta;1,00;1;64,00;64;Residence
VIALE;ZARA;89,00;1170.0;9,00;22,00;"12;7;4";3 STELLE;hotel gala;3,00;"R;1;2";35,00;"20;12;7";Hotel
